Company Name,Job Title,Location,Website URL,LinkedIn URL
Snapchat,"Machine Learning Engineer, 1+ Years of Experience","Los Angeles, CA 90291",,
Best Egg,Software Engineer - Flexible Rent,"Wilmington, DE",,
Cisco Systems,Software QA Engineer,"Boxborough, MA",,
Sigma Group,Fullstack Software Engineer,"San Diego, CA",,
"Jefferies & Company, Inc.","Software Engineer, Compliance","Jersey City, NJ",,
GE HEALTHCARE,Software Engineer,"Washington, DC",,
Chatsworth Products,Software Engineer II,"Round Rock, TX 78665",,
Via,"Staff Engineer, Backend","New York, NY",,
Airrosti,Software Engineer - .NET,"San Antonio, TX 78232",,
Supna Healthcare Solutions,Software Developer II,"Norcross, GA",,
"Fiserv, Inc.",Software Development Engineer,"Fishers, IN 46037",,
Mintmesh,Software Engineer (Vue.js),"Detroit, MI 48243",,
Citizens,Software Engineer I,"Iselin, NJ 08830",,
Meridian Technologies,Software Planning & Validation Engineer,"Chillicothe, IL 61523",,
ARi,Software Engineer,"Peoria, IL",,
Enova International,Senior Software Engineer (Hybrid),"Chicago, IL",,
PropelSys,Software Engineer,"Plano, TX 75093",,
DocuSign,"Software Engineer, Back End","San Francisco, CA",,
Accelya,Engineer I - Software development,"Hybrid work in Miami, FL",,
East Coast Tech Online,Online Software Development Academic Support Specialist,Remote,,
State Street,Senior Software Engineer 1,"Burlington, MA",,
LT Technology Services,Software Engineer,"Cedar Rapids, IA",,
Magna International Inc.,Student - Engineering Software - ASI,"Auburn Hills, MI 48326",,
Cambium Learning Group,Senior Software Engineer I,"Washington, DC",,
University of Dayton,Associate Software Engineer,"Dayton, OH 45469",,
Electronic Arts,Software Engineer II,Hybrid work in Florida,,
HII,"Software Engineer, Associate (Engineer Software 1) - 19141","Hanover, MD 21076",,
Westinghouse Electric Co,Software Engineer,"Cranberry Township, PA",,
MetLife,Software Development Engineer II,"Hybrid work in Cary, NC",,
Memorial Sloan Kettering Cancer Center,Bioinformatics Software Engineer IV,"New York, NY 10017",,
Netflix,Software Engineer (L6) - SVOD Transport Protocol Development,Remote,,
Broadcom,Senior Software Engineer,"Plano, TX",,
Southland Credit Union,Software Engineer,"Los Alamitos, CA 90720",,
CCC Information Services Inc.,Software Engineers,"Chicago, IL",,
Intone Networks,Sr. Front End Software Engineer with Maui,"Washington, DC 20001",,
General Motors,Software Engineer,"Hybrid work in Warren, MI",,
Employment Hero,"Backend Software Engineer (TypeScript, NodeJS), Platform",Remote,,
NCR,Software Engineer IV - Fullstack,Indiana,,
Grainger,Software Engineer II,"Lake Forest, IL 60045",,
All Turtles,"Staff Software Engineer, Backend for mmhmm","New York, NY",,
